,Date,User,Tweet
0,2023-03-30 23:10:06+00:00,BancoPacificoEC,"¡Seguimos creciendo para ti! ✨

Ahora podrás encontrar un nuevo cajero automático para que continúes realizando tus transacciones en #Daule 

Conoce su ubicación aquí https://t.co/dcP3FG7Wkr"
1,2023-03-30 20:46:03+00:00,BancoPacificoEC,@rmandoguambo Es un gusto atenderte. AF°
2,2023-03-30 20:14:05+00:00,BancoPacificoEC,@rmandoguambo Te notificaremos por esta vía una vez que tengamos respuesta por parte del área encargada. AF°
3,2023-03-30 19:57:38+00:00,BancoPacificoEC,"@MalVerse94 Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AF°"
4,2023-03-30 19:57:20+00:00,BancoPacificoEC,"@MalVerse94 Hola buenos días, puedes recibir transferencias desde bancos del exterior a través del Código Swift PACIECEG; además debes indicar a la persona que realizará la transferencia los datos de tu cuenta. AF°"
5,2023-03-30 19:54:30+00:00,BancoPacificoEC,"@samaelalyPe24 Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AF°"
6,2023-03-30 19:54:23+00:00,BancoPacificoEC,"@samaelalyPe24 Hola buenas tardes, para poder validar el caso a través del Call Center se debe realizar una correcta validación de los datos; caso contrario debes acercarte a una de nuestras agencias para realizar una actualización de tus datos. AF°"
7,2023-03-30 19:52:23+00:00,BancoPacificoEC,"@rmandoguambo Leinad, se realizó la consulta con el área encargada, en cuanto tengamos una respuesta te informaremos. AF°"
8,2023-03-30 18:22:01+00:00,BancoPacificoEC,"@fer02MP Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AF°"
9,2023-03-30 18:21:57+00:00,BancoPacificoEC,"@fer02MP Hola buenas tardes, indícanos por favor el inconveniente presentado por interno para poder verificar el caso. AF°"
10,2023-03-30 18:19:51+00:00,BancoPacificoEC,"@rmandoguambo Recuerda que el Banco del Pacífico S.A. nunca te llamará para solicitar claves, usuarios, números de tarjetas completos o de cuenta por ningún medio y nuestras únicas cuentas oficiales son: @Bancopacificoec, @Pacificard y nuestro WhatsApp 0967723442. AF°"
11,2023-03-30 18:19:42+00:00,BancoPacificoEC,@rmandoguambo Ayúdanos por favor con el número de reclamo ingresado para poder validar el caso. AF°
